distance,fare,fuel_price,mileage,weight,profit
1309.51,30092,108.82,12.75,13366,8290
851.06,36212,93.1,6.8,23796,15387
384.7,15851,88.28,14.34,7734,9753
960.21,24229,95.5,12.77,12787,8632
1489.07,36906,117.34,13.5,8927,8168
747.61,28410,96.59,7.85,27134,9794
990.48,35119,106.85,8.82,25166,12771
446.19,22333,93.27,7.41,22450,10246
1237.91,32388,112.19,11.9,14507,8249
1087.7,38026,117.02,7.11,29400,10210
1010.15,24213,112.67,11.46,17578,3715
335.94,8615,112.72,16.56,1990,2617
150.3,14650,92.07,6.98,26629,9280
625.25,22158,102.68,14.7,3061,11755
153.54,9551,104.33,10.57,20602,5136
995.84,35847,105.91,8.14,19287,14032
314.7,9509,114.09,13.3,6557,3748
379.73,9289,107.83,12.81,5317,3122
1113.87,39894,110.37,10.65,15830,18818
1175.92,45116,103.64,7.2,26023,16598
1365.0,26928,90.42,15.56,2297,5499
798.18,29736,106.16,10.24,13666,12299
680.07,18588,98.17,13.55,6932,7049
1384.86,28284,112.95,14.08,2107,3074
497.82,17152,98.61,15.24,3755,7810
868.99,20148,107.7,13.02,6461,3828
1268.51,41609,112.55,6.59,29239,4541
1055.53,37896,98.19,11.41,9339,20998
1120.44,29910,100.59,13.35,6532,10399
240.33,12822,108.22,9.13,18573,6775
647.72,20707,108.35,13.1,8569,9244
320.79,7689,95.67,14.08,4203,2437
1250.86,27482,90.16,9.02,24205,-982
1065.7,30281,91.46,10.37,12589,8905
1267.5,33436,105.67,13.61,7375,13496
175.47,11701,115.18,10.43,15348,7572
905.59,35307,107.67,7.42,22830,10833
848.92,28361,106.74,10.73,19095,12920
88.98,8088,97.31,10.77,15269,4769
763.07,29627,104.63,12.23,13935,14364
230.54,6506,91.11,16.55,1950,3014
661.94,19687,92.76,10.38,15730,6465
103.54,4453,108.35,14.38,2926,1770
216.44,9107,117.03,13.08,10560,3949
1220.71,42697,112.87,10.0,20136,17116
274.49,7542,116.43,13.79,6504,1898
1253.5,44214,89.13,6.67,26522,16319
1214.52,37243,101.13,14.05,5050,18594
803.35,28600,112.26,12.79,9353,11286
575.9,21550,116.99,11.66,15871,9234
158.37,11092,113.53,6.89,25392,5041
336.95,10755,98.49,10.05,13589,3487
1396.58,34652,107.5,8.48,25191,1151
675.66,22133,90.38,15.18,257,11465
455.22,12311,100.59,16.37,1528,4319
366.7,9608,100.88,14.88,4393,3926
791.46,24244,117.65,11.07,15269,6608
1183.84,40993,109.99,12.91,10410,22215
266.76,17172,101.94,8.79,23396,10391
70.49,4895,89.26,15.28,6064,3277
538.68,17242,113.97,7.68,23447,1340
1460.72,45318,102.93,12.29,14936,20455
820.48,22554,90.4,13.25,9704,9004
1305.71,50179,117.94,11.78,10642,25688
1020.72,36817,92.28,6.79,28588,12812
853.03,27943,108.37,11.28,18192,10724
378.17,10707,110.07,14.83,3492,4159
431.94,22192,102.74,5.7,27503,8905
1269.05,38870,98.42,11.48,9656,13386
1191.58,30489,91.64,10.0,15312,9408
829.71,36061,90.59,9.3,18397,18526
1458.71,43081,101.5,10.1,19306,12414
651.76,19177,89.66,5.76,27330,1232
1342.91,41810,95.52,7.94,25393,13329
1412.7,42159,107.76,15.09,4710,17712
963.97,30405,107.53,11.02,17345,10711
727.0,18346,108.55,7.34,24160,168
472.31,20717,110.03,9.89,21579,10150
404.87,12746,90.9,12.87,7513,5542
868.64,26368,110.89,12.84,9450,12359
1450.2,41314,98.59,12.47,6533,15818
649.24,23181,109.83,7.96,26485,7785
758.86,26999,96.39,9.82,22956,10381
1408.73,41342,93.97,8.47,22673,14604
911.36,26160,97.84,11.17,15514,9039
800.85,27228,96.99,9.85,21291,8918
1033.63,33006,102.24,17.1,897,16581
945.39,31228,113.24,8.73,18630,10357
231.39,16630,100.31,9.91,20746,11689
490.95,19013,103.76,8.81,19901,7507
966.75,28365,106.3,8.13,20830,5328
314.88,19197,97.51,8.49,21179,11869
1470.34,39832,116.64,8.72,24569,6151
721.22,22992,104.16,15.25,6142,10520
798.91,27878,89.57,9.35,19175,12413
613.33,25742,114.35,6.58,28057,7571
863.33,32504,109.69,11.94,16101,15156
598.51,26654,116.1,12.42,14912,15311
430.42,26943,104.3,6.09,29674,15443
691.08,24526,93.59,14.11,7792,12968
1241.35,29524,90.6,11.34,15507,10098
1131.87,30801,97.06,7.13,28626,5948
611.1,17332,114.85,11.57,15125,4652
204.69,6905,110.43,14.76,4680,3044
374.96,18083,114.19,7.19,22667,8189
760.7,23906,92.5,9.74,17224,9637
1213.99,27287,103.4,11.32,13658,2245
1119.98,29469,89.36,9.74,17392,8694
616.26,24535,110.97,9.74,23092,9071
566.59,22011,107.85,9.28,20514,9256
337.92,10315,88.68,15.33,204,4600
417.1,21305,109.75,5.46,28129,7528
155.84,3645,105.93,16.24,1104,601
89.38,6746,96.68,11.89,15166,4205
